index,CH1
1389,4.5
1390,3.5
1391,4.5
1392,-3.5
1393,-32.5
1394,-6.5
1395,1.5
1396,1.5
1397,6.5
1398,8.5
1399,10.5
1400,2.5
1401,-3.5
1402,-1.5
1403,-11.5
1404,-5.5
1405,-3.5
1406,0.5
1407,4.5
1408,15.5
1409,-5.5
1410,2.5
1411,-0.5
1412,0.5
1413,-7.5
1414,-1.5
1415,-3.5
1416,-0.5
1417,2.5
1418,11.5
1419,6.5
1420,-0.5
1421,4.5
1422,-5.5
1423,-3.5
1424,-5.5
1425,-13.5
1426,0.5
1427,0.5
1428,5.5
1429,9.5
1430,1.5
1431,0.5
1432,-3.5
1433,-9.5
1434,-5.5
1435,-1.5
1436,-1.5
1437,4.5
1438,15.5
1439,10.5
1440,-4.5
1441,6.5
1442,-0.5
1443,-12.5
1444,-3.5
1445,-1.5
1446,-0.5
1447,2.5
1448,10.5
1449,9.5
1450,13.5
1451,17.5
1452,-7.5
1453,-11.5
1454,-4.5
1455,-4.5
1456,0.5
1457,7.5
1458,8.5
1459,7.5
1460,-3.5
1461,3.5
1462,-6.5
1463,-8.5
1464,-3.5
1465,-5.5
1466,5.5
1467,7.5
1468,12.5
1469,19.5
1470,29.5
1471,5.5
1472,-10.5
1473,-14.5
1474,-7.5
1475,-1.5
1476,-1.5
1477,9.5
1478,12.5
1479,-38.5
1480,3.5
1481,0.5
1482,4.5
1483,-8.5
1484,-10.5
1485,-4.5
1486,-0.5
1487,2.5
1488,10.5
1489,1.5
1490,-7.5
1491,0.5
1492,-6.5
1493,-5.5
1494,-13.5
1495,-8.5
1496,4.5
1497,17.5
1498,13.5
1499,3.5
1500,-0.5
1501,-0.5
1502,-7.5
1503,-7.5
1504,-3.5
1505,-6.5
1506,23.5
1507,4.5
1508,4.5
1509,7.5
1510,1.5
1511,-1.5
1512,-7.5
1513,-6.5
1514,-8.5
1515,-0.5
1516,-1.5
1517,8.5
1518,9.5
1519,4.5
1520,-4.5
1521,3.5
1522,-1.5
1523,-9.5
1524,-3.5
1525,-3.5
1526,-3.5
1527,-4.5
1528,4.5
1529,12.5
1530,1.5
1531,5.5
1532,-8.5
1533,-9.5
1534,-6.5
1535,12.5
1536,-0.5
1537,2.5
1538,-3.5
1539,9.5
1540,2.5
1541,2.5
1542,-3.5
1543,-3.5
1544,-3.5
1545,1.5
1546,2.5
1547,7.5
1548,14.5
1549,2.5
1550,4.5
1551,4.5
1552,-9.5
1553,-9.5
1554,-7.5
1555,0.5
1556,1.5
1557,2.5
1558,3.5
1559,6.5
1560,-0.5
1561,-4.5
1562,-12.5
1563,-8.5
1564,-3.5
1565,-1.5
1566,14.5
1567,9.5
1568,6.5
1569,8.5
1570,-8.5
1571,-4.5
1572,14.5
1573,-5.5
1574,-3.5
1575,-3.5
1576,21.5
1577,4.5
1578,8.5
1579,9.5
1580,4.5
1581,2.5
1582,-5.5
1583,-11.5
1584,-5.5
1585,-0.5
1586,-3.5
1587,6.5
1588,7.5
1589,24.5
1590,0.5
1591,2.5
1592,-7.5
1593,-3.5
1594,-4.5
1595,-3.5
1596,-1.5
1597,8.5
1598,9.5
1599,6.5
1600,-3.5
1601,-0.5
1602,-1.5
1603,-6.5
1604,-6.5
1605,-3.5
1606,0.5
1607,6.5
1608,151
1609,15.5
1610,9.5
1611,6.5
1612,-0.5
1613,-0.5
1614,-4.5
1615,-0.5
1616,-6.5
1617,4.5
1618,7.5
1619,3.5
1620,2.5
1621,0.5
1622,-5.5
1623,-3.5
1624,-3.5
1625,0.5
1626,3.5
1627,1.5
1628,4.5
1629,4.5
1630,1.5
1631,-1.5
1632,-0.5
1633,-5.5
1634,-6.5
1635,0.5
1636,-0.5
1637,2.5
1638,10.5
1639,10.5
1640,3.5
1641,-0.5
1642,-1.5
1643,-8.5
1644,-7.5
1645,-3.5
1646,-0.5
1647,12.5
1648,6.5
1649,6.5
1650,3.5
1651,6.5
1652,-3.5
1653,-12.5
1654,-4.5
1655,-7.5
1656,0.5
1657,9.5
1658,6.5
1659,5.5
1660,-1.5
1661,-3.5
1662,-3.5
1663,-7.5
1664,-1.5
1665,-0.5
1666,2.5
1667,3.5
1668,2.5
1669,13.5
1670,4.5
1671,32.5
1672,-8.5
1673,-7.5
1674,-3.5
1675,-3.5
1676,-1.5
1677,10.5
1678,20.5
1679,8.5
1680,0.5
1681,3.5
1682,-7.5
1683,-5.5
1684,-11.5
1685,-10.5
1686,14.5
1687,-1.5
1688,13.5
1689,32.5
1690,-28.5
1691,0.5
1692,-7.5
1693,-3.5
1694,-5.5
1695,-3.5
1696,1.5
1697,3.5
1698,6.5
1699,-8.5
1700,6.5
1701,-3.5
1702,-5.5
1703,-8.5
1704,-3.5
1705,1.5
1706,3.5
1707,3.5
1708,9.5
1709,9.5
1710,4.5
1711,-1.5
1712,-1.5
1713,-23.5
1714,-5.5
1715,-3.5
1716,-16.5
1717,8.5
1718,7.5
1719,6.5
1720,2.5
1721,-3.5
1722,-4.5
1723,-34.5
1724,-11.5
1725,-11.5
1726,-4.5
1727,9.5
1728,9.5
1729,9.5
1730,-0.5
1731,1.5
